Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
59,Anjuna_Ps,2020,Assault (Hurt),09-12-2020,Near German Bakery Anjuna,Anjuna,2,"(15.5852, 73.7438)",Medium,MarketZone
60,Anjuna_Ps,2020,Assault (Hurt),14-12-2020,Baga Bridge Arpora,Arpora,3,"(15.5560, 73.7522)",High,OnRoad
61,Anjuna_Ps,2020,Assault (Hurt),23-12-2020,Anjuna Tito,Anjuna,4,"(15.5851, 73.7433)",High,ClubArea
62,Anjuna_Ps,2020,Drug Related (NDPS),06-01-2020,Ozran Vagator,Vagator,2,"(15.5918, 73.7442)",Medium,LocalArea
63,Anjuna_Ps,2020,Drug Related (NDPS),07-01-2020,Y Junction Gumal Waddo Anjuna,Anjuna,2,"(15.5853, 73.7436)",Medium,OnRoad
64,Anjuna_Ps,2020,Drug Related (NDPS),17-01-2020,Four Road Junction Assagao,Assagao,3,"(15.6004, 73.7505)",Medium,OnRoad
65,Anjuna_Ps,2020,Drug Related (NDPS),28-01-2020,Four Road Junction Assagao,Assagao,5,"(15.6004, 73.7505)",Medium,OnRoad
66,Anjuna_Ps,2020,Drug Related (NDPS),11-02-2020,Near Happy Bar Rest Assagao,Assagao,3,"(15.6007, 73.7506)",Medium,ClubArea
67,Anjuna_Ps,2020,Drug Related (NDPS),13-03-2020,Exotic Regency Siolim,Siolim,3,"(15.6202, 73.7773)",Medium,InHouse
68,Anjuna_Ps,2020,Drug Related (NDPS),15-03-2020,Tembi Ground Anjuna,Anjuna,4,"(15.5847, 73.7432)",Medium,LocalArea
69,Anjuna_Ps,2020,Drug Related (NDPS),29-08-2020,T Junction Monterio Vaddo Anjuna,Anjuna,5,"(15.5855, 73.7437)",Medium,OnRoad
70,Anjuna_Ps,2020,Drug Related (NDPS),05-09-2020,Munag Vaddo Assagao,Assagao,1,"(15.6009, 73.7507)",Low,LocalArea
71,Anjuna_Ps,2020,Drug Related (NDPS),19-09-2020,Ingrezvaddo Marna Siolim,Siolim,3,"(15.6205, 73.7774)",Low,LocalArea
72,Anjuna_Ps,2020,Drug Related (NDPS),03-10-2020,Chiwar Anjuna,Anjuna,1,"(15.5858, 73.7440)",Medium,LocalArea
73,Anjuna_Ps,2020,Drug Related (NDPS),27-10-2020,Ozran Vagator,Vagator,5,"(15.5918, 73.7442)",Medium,LocalArea
74,Anjuna_Ps,2021,Theft (Auto Theft),09-01-2021,Near Babet Tailor Shop Assagao,Assagao,2,"(15.6010, 73.7508)",Low,MarketZone
75,Anjuna_Ps,2021,Theft (Auto Theft),30-04-2021,Huddo Vaddo Chapora,Arpora,5,"(15.5730, 73.7680)",Medium,Beachside
76,Anjuna_Ps,2021,Theft (Auto Theft),15-05-2021,Bouta Vaddo Assagao,Assagao,3,"(15.6013, 73.7509)",Low,LocalArea
77,Anjuna_Ps,2021,Theft (Auto Theft),11-06-2021,Dabholwado Chapora,Arpora,2,"(15.5735, 73.7682)",Medium,LocalArea
78,Anjuna_Ps,2021,Theft (Auto Theft),01-09-2021,Near DMC College Vale Waddo Assagao,Assagao,1,"(15.6015, 73.7510)",Medium,NearCollege
79,Anjuna_Ps,2021,Theft (Auto Theft),05-10-2021,Infront of Hno.1397 Doxxier Anjuna,Anjuna,2,"(15.5861, 73.7441)",Low,InHouse
80,Anjuna_Ps,2021,Theft (Auto Theft),26-10-2021,Infront of Hno.1110 Mazal Vaddo Anjuna,Anjuna,5,"(15.5863, 73.7443)",Low,InHouse
81,Anjuna_Ps,2021,Theft (Auto Theft),16-11-2021,Near Dinesh Café Starco Anjuna,Anjuna,3,"(15.5865, 73.7444)",Medium,MarketZone
82,Anjuna_Ps,2021,Theft (Auto Theft),30-12-2021,Near Bablo Garage Arpora,Arpora,5,"(15.5738, 73.7684)",Medium,MarketZone
83,Anjuna_Ps,2021,Theft (House Theft),26-01-2021,Zor Waddo Chapora,Arpora,5,"(15.5740, 73.7685)",Medium,LocalArea
84,Anjuna_Ps,2021,Theft (House Theft),01-02-2021,Castel Villa Anjuna,Anjuna,1,"(15.5868, 73.7445)",Medium,InHouse
85,Anjuna_Ps,2021,Theft (House Theft),03-02-2021,Villa No.4 Villa Casa Anjuna,Anjuna,1,"(15.5870, 73.7446)",Medium,InHouse
86,Anjuna_Ps,2021,Theft (House Theft),08-02-2021,Casa Apt Madhlem Bhat Siolim,Siolim,2,"(15.6208, 73.7775)",Low,InHouse
87,Anjuna_Ps,2021,Theft (House Theft),14-07-2021,Room D-5 Hotel Capital Casa Royal Vagator,Vagator,3,"(15.5920, 73.7447)",Medium,InHouse
88,Anjuna_Ps,2021,Theft (House Theft),22-07-2021,Rented Villa Mandovi Arpora,Arpora,4,"(15.5742, 73.7686)",Medium,InHouse
89,Anjuna_Ps,2021,Theft (House Theft),01-08-2021,O Punjab Rest Arpora,Arpora,2,"(15.5745, 73.7687)",Medium,ClubArea
90,Anjuna_Ps,2021,Theft (House Theft),18-09-2021,Mazal Vaddo Anjuna,Anjuna,3,"(15.5869, 73.7448)",Medium,LocalArea
91,Anjuna_Ps,2021,Theft (House Theft),21-09-2021,251/9 Hudo Waddo Chapora,Chapora,4,"(15.5732, 73.7689)",Medium,InHouse
92,Anjuna_Ps,2021,Theft (House Theft),11-11-2021,Talva Party Hostel Anjuna,Anjuna,2,"(15.5872, 73.7449)",High,InHouse
93,Anjuna_Ps,2021,Theft (House Theft),28-11-2021,Bunglow 1 Govia Hillside Wadi Siolim,Siolim,5,"(15.6210, 73.7776)",Low,InHouse
94,Anjuna_Ps,2021,Theft (House Theft),26-12-2021,Hno.772/1 St Michael Waddo Anjuna,Anjuna,5,"(15.5875, 73.7450)",Low,InHouse
95,Anjuna_Ps,2021,Theft (House Theft),31-12-2021,Siolim,Siolim,5,"(15.6213, 73.7777)",Medium,LocalArea
96,Anjuna_Ps,2021,Theft (Chain Snatching),14-09-2021,Near Piza Hut Arpora,Arpora,3,"(15.5748, 73.7688)",High,MarketZone
97,Anjuna_Ps,2021,Theft (Chain Snatching),21-09-2021,Near Snatas Family Saloon Deaulwaddo Vagator,Vagator,4,"(15.5925, 73.7449)",Medium,MarketZone
98,Anjuna_Ps,2021,Theft (Chain Snatching),16-12-2021,Hno.984/A Tarchibhat Siolim,Siolim,3,"(15.6215, 73.7778)",Low,InHouse
99,Anjuna_Ps,2021,Theft (HBT Night),05-06-2021,Rented House Monterio Vaddo Anjuna,Anjuna,1,"(15.5878, 73.7451)",Medium,InHouse
100,Anjuna_Ps,2021,Theft (HBT Night),18-08-2021,Hno.422 Sim Vaddo Arpora,Arpora,4,"(15.5750, 73.7689)",Low,InHouse
101,Anjuna_Ps,2021,Assault (Hurt),01-01-2021,Badem Chapora,Chapora,1,"(15.5734, 73.7690)",Medium,LocalArea
102,Anjuna_Ps,2021,Assault (Hurt),27-01-2021,Infront of Vishwas Bar Tar Siolim,Siolim,5,"(15.6218, 73.7779)",High,ClubArea
103,Anjuna_Ps,2021,Assault (Hurt),27-01-2021,Infront of Vishwas Bar Tar Siolim,Siolim,5,"(15.6218, 73.7779)",High,ClubArea
104,Anjuna_Ps,2021,Assault (Hurt),02-02-2021,Gubla Waddo Oxel Siolim,Siolim,1,"(15.6220, 73.7780)",Low,LocalArea
105,Anjuna_Ps,2021,Assault (Hurt),25-02-2021,Near Ganesh Temple Tar Siolim,Siolim,4,"(15.6222, 73.7781)",Medium,ResidentialArea
106,Anjuna_Ps,2021,Assault (Hurt),03-03-2021,Café Struck Vagator,Vagator,1,"(15.5930, 73.7450)",High,ClubArea
107,Anjuna_Ps,2021,Assault (Hurt),03-03-2021,Fish Ovan Shack Anjuna Beach,Anjuna,1,"(15.5880, 73.7452)",High,Beachside
108,Anjuna_Ps,2021,Assault (Hurt),06-03-2021,Bollywood Night Rest Arpora,Arpora,1,"(15.5752, 73.7691)",High,ClubArea
109,Anjuna_Ps,2021,Assault (Hurt),12-03-2021,St Michael Vaddo Anjuna,Anjuna,2,"(15.5882, 73.7453)",Medium,localArea
110,Anjuna_Ps,2021,Assault (Hurt),17-03-2021,HNo.81 Mainath Bhati Arpora,Arpora,3,"(15.5754, 73.7692)",Low,InHouse
111,Anjuna_Ps,2021,Assault (Hurt),17-03-2021,Property bearing No.42/2 Arpora,Arpora,3,"(15.5756, 73.7693)",Low,InHouse
112,Anjuna_Ps,2021,Assault (Hurt),05-04-2021,Porta Vaddo Siolim,Siolim,2,"(15.6225, 73.7782)",Low,localArea
113,Anjuna_Ps,2021,Assault (Hurt),14-04-2021,Papi Chulo Hostel Vagator,Vagator,3,"(15.5935, 73.7451)",High,InHouse
114,Anjuna_Ps,2021,Assault (Hurt),28-04-2021,Anjuna Beach,Anjuna,5,"(15.5885, 73.7454)",High,Beachside
115,Anjuna_Ps,2021,Assault (Hurt),13-06-2021,Anjuna,Anjuna,3,"(15.5888, 73.7445)",Medium,localArea
116,Anjuna_Ps,2021,Assault (Hurt),29-07-2021,Hotel Dinesh Starco Anjuna,Anjuna,5,"(15.5890, 73.7446)",High,InHouse
117,Anjuna_Ps,2021,Assault (Hurt),23-08-2021,Near Theater Junction Siolim,Siolim,5,"(15.6216, 73.7774)",Medium,OnRoad
118,Anjuna_Ps,2021,Assault (Hurt),23-08-2021,Bus Stop Theater Junction Siolim,Siolim,5,"(15.6217, 73.7775)",High,OnRoad
119,Anjuna_Ps,2021,Assault (Hurt),30-08-2021,Brahman Devastan Guddem Siolim,Siolim,5,"(15.6220, 73.7776)",Low,ResidentialArea
120,Anjuna_Ps,2021,Assault (Hurt),09-09-2021,Court Yard Fulddem Vaddo Nagoa,Nagoa,2,"(15.5820, 73.7600)",Low,localArea
121,Anjuna_Ps,2021,Assault (Hurt),15-09-2021,Edga Fernandes Siolim,Siolim,3,"(15.6222, 73.7777)",Low,localArea
122,Anjuna_Ps,2021,Assault (Hurt),21-09-2021,HNo.251/9 Huddo Vaddo Chapora,Chapora,4,"(15.5732, 73.7685)",Low,InHouse
123,Anjuna_Ps,2021,Assault (Hurt),21-09-2021,HNo.251/9 Huddo Vaddo Chapora,Chapora,4,"(15.5732, 73.7685)",Low,InHouse
124,Anjuna_Ps,2021,Assault (Hurt),29-09-2021,Near Yeshwant Store Chapora,Chapora,5,"(15.5735, 73.7686)",Medium,MarketZone
125,Anjuna_Ps,2021,Assault (Hurt),02-10-2021,HNo.7/4 Fulddem Vaddo Nagoa,Nagoa,1,"(15.5825, 73.7601)",Low,InHouse
126,Anjuna_Ps,2021,Assault (Hurt),09-10-2021,Court Yard HNo.1050 Grand Peddem Anjuna,Anjuna,2,"(15.5895, 73.7447)",Low,ResidentialArea
127,Anjuna_Ps,2021,Assault (Hurt),16-10-2021,Near Anjuna Beach,Anjuna,3,"(15.5900, 73.7448)",High,Beachside
128,Anjuna_Ps,2021,Assault (Hurt),18-11-2021,Rai Siolim,Siolim,3,"(15.6228, 73.7778)",Medium,localArea
129,Anjuna_Ps,2021,Drug Related (NDPS),04-02-2021,Fountant Gumal Vaddo Anjuna,Anjuna,1,"(15.5905, 73.7449)",Medium,localArea
130,Anjuna_Ps,2021,Drug Related (NDPS),05-02-2021,Coutinho Vaddo Vagator,Vagator,1,"(15.5938, 73.7450)",Medium,localArea
131,Anjuna_Ps,2021,Drug Related (NDPS),07-02-2021,Assagao,Assagao,2,"(15.5890, 73.7650)",Medium,localArea
132,Anjuna_Ps,2021,Drug Related (NDPS),12-03-2021,Near Sea Garden Prais Vaddo Anjuna,Anjuna,2,"(15.5910, 73.7451)",High,Beachside
133,Anjuna_Ps,2021,Drug Related (NDPS),22-06-2021,Grand Peddem Anjuna,Anjuna,4,"(15.5915, 73.7452)",Medium,localArea
134,Anjuna_Ps,2021,Drug Related (NDPS),24-07-2021,HNo.160 Zor Vaddo Anjuna,Anjuna,4,"(15.5920, 73.7453)",Low,InHouse
135,Anjuna_Ps,2021,Drug Related (NDPS),02-08-2021,Igrez Vaddo Marna Siolim,Siolim,2,"(15.6232, 73.7779)",Medium,localArea
136,Anjuna_Ps,2021,Drug Related (NDPS),05-08-2021,Gaonwadi Anjuna,Anjuna,2,"(15.5930, 73.7444)",Medium,localArea
137,Anjuna_Ps,2021,Drug Related (NDPS),05-08-2021,Happy Bar Assagao,Assagao,2,"(15.5892, 73.7651)",High,ClubArea
138,Anjuna_Ps,2021,Drug Related (NDPS),29-10-2021,Baga Arpora,Arpora,5,"(15.5569, 73.7523)",High,Beachside
139,Anjuna_Ps,2021,Drug Related (NDPS),05-12-2021,Near Happy Bar Assagao,Assagao,2,"(15.5893, 73.7652)",High,ClubArea
140,Anjuna_Ps,2021,Drug Related (NDPS),18-12-2021,Near Navelkar Avenue Building Bhati Oxel Siolim,Siolim,3,"(15.6245, 73.7780)",Medium,localArea
141,Anjuna_Ps,2022,Theft (Auto Theft),13-01-2022,Near Curlies Rest Dando Anjuna,Anjuna,3,"(15.5902, 73.7445)",High,ClubArea
142,Anjuna_Ps,2022,Theft (Auto Theft),22-02-2022,Wadi Siolim,Siolim,4,"(15.6250, 73.7781)",Medium,localArea
143,Anjuna_Ps,2022,Theft (Auto Theft),30-03-2022,HNo.4 Vaddy Siolim,Siolim,5,"(15.6255, 73.7782)",Low,InHouse
144,Anjuna_Ps,2022,Theft (Auto Theft),30-03-2022,Infront of Desmond Money Exchange Shop Anjuna,Anjuna,5,"(15.5907, 73.7446)",Medium,MarketZone
145,Anjuna_Ps,2022,Theft (Auto Theft),23-06-2022,Near Curlies Rest Dando Anjuna,Anjuna,4,"(15.5902, 73.7445)",High,ClubArea
146,Anjuna_Ps,2022,Theft (Auto Theft),24-06-2022,Near Starco Junction Anjuna,Anjuna,4,"(15.5909, 73.7447)",High,OnRoad
147,Anjuna_Ps,2022,Theft (Auto Theft),14-07-2022,Zorwado Anjuna,Anjuna,3,"(15.5913, 73.7448)",Medium,localArea
148,Anjuna_Ps,2022,Theft (Auto Theft),29-07-2022,Tambudki Arpora,Arpora,5,"(15.5556, 73.7519)",Medium,localArea
149,Anjuna_Ps,2022,Theft (Auto Theft),15-09-2022,Near F-13 Avolona Arpora,Arpora,3,"(15.5561, 73.7520)",Low,InHouse
150,Anjuna_Ps,2022,Theft (Auto Theft),29-09-2022,Mango Tree Rest Vagator,Vagator,5,"(15.5935, 73.7451)",High,ClubArea
151,Anjuna_Ps,2022,Theft (House Theft),21-04-2022,Emporoe Resort Spa Vagator,Vagator,3,"(15.5940, 73.7452)",High,InHouse
152,Anjuna_Ps,2022,Theft (House Theft),21-06-2022,Navel Avenue Siolim,Siolim,3,"(15.6260, 73.7783)",Medium,localArea
153,Anjuna_Ps,2022,Theft (House Theft),21-08-2022,247 Sokal Waddo Assagao,Assagao,3,"(15.5900, 73.7653)",Low,InHouse
154,Anjuna_Ps,2022,Theft (House Theft),20-11-2022,Baga Arpora,Arpora,3,"(15.5569, 73.7523)",High,Beachside
155,Anjuna_Ps,2022,Theft (Chain Snatching),28-06-2022,Tambudki Waddo Arpora,Arpora,4,"(15.5558, 73.7521)",Medium,localArea
156,Anjuna_Ps,2022,Theft (HBT Night),16-05-2022,95/A Vaddi Siolim,Siolim,3,"(15.6265, 73.7784)",Low,InHouse
157,Anjuna_Ps,2022,Theft (HBT Night),22-07-2022,86/2 Marna Siolim,Siolim,4,"(15.6270, 73.7785)",Low,InHouse
158,Anjuna_Ps,2022,Theft (HBT Night),18-09-2022,Villa Amada Boutawado Assagao,Assagao,3,"(15.5905, 73.7654)",Medium,InHouse
159,Anjuna_Ps,2022,Theft (HBT Night),02-11-2022,Hotel Mamta Court Yard Anjuna,Anjuna,1,"(15.5917, 73.7449)",High,InHouse
160,Anjuna_Ps,2022,Theft (HBT Night),27-11-2022,Bammon Vaddo Siolim,Siolim,4,"(15.6268, 73.7786)",Medium,localArea
161,Anjuna_Ps,2022,Assault (Hurt),01-01-2022,Romeo Lane Vagator,Vagator,1,"(15.5938, 73.7453)",Medium,localArea
162,Anjuna_Ps,2022,Assault (Hurt),01-01-2022,Abalone Resort Arpora,Arpora,1,"(15.5552, 73.7518)",High,InHouse
163,Anjuna_Ps,2022,Assault (Hurt),06-01-2022,HNo.484/18 Deulwada Chapora,Chapora,5,"(15.5908, 73.7649)",Low,InHouse
164,Anjuna_Ps,2022,Assault (Hurt),31-01-2022,1089 Madlembhat Siolim,Siolim,2,"(15.6272, 73.7787)",Low,InHouse
165,Anjuna_Ps,2022,Assault (Hurt),09-02-2022,Simwado Anjuna,Anjuna,2,"(15.5910, 73.7450)",Medium,localArea
166,Anjuna_Ps,2022,Assault (Hurt),09-02-2022,Simwado Anjuna,Anjuna,3,"(15.5910, 73.7450)",Medium,localArea
167,Anjuna_Ps,2022,Assault (Hurt),12-02-2022,410/1 Sim Vaddo Arpora,Arpora,5,"(15.5554, 73.7522)",Low,InHouse
168,Anjuna_Ps,2022,Assault (Hurt),16-03-2022,Thalasa Rest Vaddi Siolim,Siolim,3,"(15.6280, 73.7788)",High,ClubArea
169,Anjuna_Ps,2022,Assault (Hurt),30-03-2022,Malbar Band Anjuna,Anjuna,1,"(15.5912, 73.7451)",Medium,localArea
170,Anjuna_Ps,2022,Assault (Hurt),20-04-2022,Marna Siolim,Siolim,4,"(15.6275, 73.7789)",Medium,ResidentialArea
171,Anjuna_Ps,2022,Assault (Hurt),01-05-2022,Siolim Bridge Siolim,Siolim,4,"(15.6285, 73.7790)",High,OnRoad
172,Anjuna_Ps,2022,Assault (Hurt),24-05-2022,Near Darling Bar Chapora,Chapora,1,"(15.5909, 73.7650)",High,ClubArea
173,Anjuna_Ps,2022,Assault (Hurt),28-06-2022,River Bank Siolim,Siolim,5,"(15.6290, 73.7791)",Medium,Beachside
174,Anjuna_Ps,2022,Assault (Hurt),05-07-2022,Near DMC Assagao,Assagao,5,"(15.5915, 73.7655)",Low,NearCollege
175,Anjuna_Ps,2022,Assault (Hurt),29-07-2022,7/4 Fuldem Wado Nagoa,Nagoa,4,"(15.5920, 73.7656)",Low,InHouse
176,Anjuna_Ps,2022,Assault (Hurt),30-07-2022,Near St Anthony Chapel Anjuna,Anjuna,5,"(15.5918, 73.7452)",Medium,localArea
177,Anjuna_Ps,2022,Assault (Hurt),24-08-2022,Near Dream Circle Nagoa,Nagoa,2,"(15.5923, 73.7657)",Medium,localArea
178,Anjuna_Ps,2022,Assault (Hurt),31-08-2022,Badem Assagao,Assagao,2,"(15.5919, 73.7658)",Low,localArea
179,Anjuna_Ps,2022,Assault (Hurt),12-09-2022,Near W Resort Chapora,Chapora,2,"(15.5910, 73.7659)",High,InHouse
